ACANTHACEAE#DICLIPTERA ROXBURGHIANA#KAEMPFEROL
RANUNCULACEAE#DELPHINIUM TAMARAE#KAEMPFEROL
RANUNCULACEAE#DELPHINIUM VENULOSUM#KAEMPFEROL
RANUNCULACEAE#GLAUCIDIUM PALMATUM#KAEMPFEROL-3-O-BETA-D-ALLOSIDE
RANUNCULACEAE#HELLEBORUS ATRORUBENS#KAEMPFEROL
RANUNCULACEAE#HELLEBORUS CYCLOPHYLLUS#KAEMPFEROL-3-SAMBUBIOSIDE
RANUNCULACEAE#HELLEBORUS NIGER#KAEMPFEROL
RANUNCULACEAE#HELLEBORUS NIGER_SSP.MACRANTHUS#KAEMPFEROL
RANUNCULACEAE#ISOPYRUM THALICTROIDES#KAEMPFEROL#KAEMPFEROL-3-7-DI-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-DIGLUCOSIDE#KAEMPFEROL-3-O-BETA-D-DIGLUCOSYL-O-ALPHA-L-RHAMNOSIDE
RANUNCULACEAE#NIGELLA ARVENSIS#KAEMPFEROL
RANUNCULACEAE#NIGELLA DAMASCENA#KAEMPFEROL
RANUNCULACEAE#NIGELLA SATIVA#KAEMPFEROL-3-O-BETA-GLUCOPYRANOSYL-(1-2)-O-BETA-GALACTOPYRANOSYL-(1-2)-BETA-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-[BETA-D-GLUCOSYL(1-2)-O-BETA-D-GLUCOSYL(1-2)-BETA-D-GLUCOSIDE
RANUNCULACEAE#PULSATILLA VULGARIS#KAEMPFEROL
RANUNCULACEAE#RANUNCULUS ACONITIFOLIUS#KAEMPFEROL
RANUNCULACEAE#RANUNCULUS ACRIS#KAEMPFEROL
RANUNCULACEAE#RANUNCULUS CHIUS#KAEMPFEROL
RANUNCULACEAE#RANUNCULUS FICARIA#KAEMPFEROL#KAEMPFEROL-3-O-[ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANSOYL]-7-O-BETA-D-GLUCOPYRANOSIDE
RANUNCULACEAE#RANUNCULUS GLACIALIS#KAEMPFEROL
RANUNCULACEAE#RANUNCULUS HYBRIDUS#KAEMPFEROL
RANUNCULACEAE#RANUNCULUS LANUGINOSUS#KAEMPFEROL
RANUNCULACEAE#RANUNCULUS MONTANUS#KAEMPFEROL
RANUNCULACEAE#RANUNCULUS PYRENAEUS#KAEMPFEROL
RANUNCULACEAE#RANUNCULUS REPENS#KAEMPFEROL
RANUNCULACEAE#RANUNCULUS THORA#KAEMPFEROL
RANUNCULACEAE#THALICTRUM ATRIPLEX#KAEMPFEROL#KAEMPFEROL-3-O-[3'''ACETYL-ALPHA-L-ARABINOPYRANOSYL(1'''-6'')]-BETA-D-GLUCOPYRANOSIDE
RANUNCULACEAE#THALICTRUM MEDIUM#KAEMPFEROL
RANUNCULACEAE#THALICTRUM RUGOSUM#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSIDE
RESEDACEAE#OCHRADENUS BACCATUS#KAEMPFEROL
RESEDACEAE#RESEDA LUTEOLA#KAEMPFEROL,7-O-ALPHA-RHAMNOSYL: 3-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSIDE-7-ALPHA-L-RHAMNOSIDE
RESEDACEAE#RESEDA MURICATA#KAEMPFEROL#KAEMPFEROL-3-O--BETA-D-GLUCOPYRANOSYL(1'''-2'')-O-ALPHA-L-RHAMNOPYRANOSIDE-7-O-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1'''-2'')-O-ALPHA-L-RHAMNOPYRANOSIDE-7-O-BETA-D-(6'''-O-TRANS-COUMAROYL-GLUCOPYRANOSIDE)#KAEMPFEROL-3-O-RHAMNOSIDE
RESEDACEAE#RESEDA ODORATA#KAEMPFEROL
RESEDACEAE#RESEDA PHYTEUMA#KAEMPFEROL
RESTIONACEAE#CHONDROPETALUM ANDRAEANUM#KAEMPFEROL
RESTIONACEAE#CHONDROPETALUM CHARTACEUM#KAEMPFEROL
RESTIONACEAE#CHONDROPETALUM MICROCARPUM#KAEMPFEROL
RESTIONACEAE#CHONDROPETALUM PANICULATUM#KAEMPFEROL
RHAMNACEAE#BERCHEMIA FORMOSANA#KAEMPFEROL,DIHYDRO: (+):
RHAMNACEAE#BERCHEMIA RACEMOSA#KAEMPFEROL
RHAMNACEAE#CEANOTHUS AMERICANUS#KAEMPFEROL#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSIDE
RHAMNACEAE#CEANOTHUS FENDLERI#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE
RHAMNACEAE#CEANOTHUS PAPILLOSUS_CV.ROWEANUS#KAEMPFEROL-3-O-XYLOSYL(1-2)-RHAMNOSIDE
RHAMNACEAE#COLUBRINA FARALAOTRA_SSP.TRICHOCARPA#KAEMPFEROL
RHAMNACEAE#HOVENIA ACERBA#KAEMPFEROL#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GALACTOPYRANOSIDE
RHAMNACEAE#PALIURUS SPINA-CHRISTI#KAEMPFEROL-3-O-RHAMNOGLUCOSIDE-7-O-RHAMNOSIDE
RHAMNACEAE#RHAMNELLA GILGITICA#KAEMPFEROL
RHAMNACEAE#RHAMNUS ALATERNUS#KAEMPFEROL-3-O-BETA-RHAMNOSIDE
RHAMNACEAE#RHAMNUS ALATERNUS_SSP.MYRTIFOLIA#KAEMPFEROL
RHAMNACEAE#RHAMNUS CATHARTICA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-RHAMNOSIDE
RHAMNACEAE#RHAMNUS DISPERMA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-ROBINOSIDE#KAEMPFEROL-4'-O-BETA-D-RHAMNOSIDE
RHAMNACEAE#RHAMNUS FORMOSANA#KAEMPFEROL
RHAMNACEAE#RHAMNUS FRANGULA#KAEMPFEROL#KAEMPFEROL-GLUCOSYL-RHAMNOSIDE
RHAMNACEAE#RHAMNUS LEPTOPHYLLA#KAEMPFEROL-3-O-BETA-RHAMNINOSIDE
RHAMNACEAE#RHAMNUS LIBANOTICUS#KAEMPFEROL
RHAMNACEAE#RHAMNUS LYCIOIDES#KAEMPFEROL#KAEMPFEROL-3-O-[2-3-4-TRI-O-ACETYL-ALPHA-L-RHAMNOPYRANOSYL(1-3)-2-4-DI-O-ACETYL-RHAMNOPYRANOSYL(1-6)]-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-[3-4-DI-O-ACETYL-ALPHA-L-RHAMNOPYRANOSYL(1-3)-2-4-DI-O-ACETYL-ALPHA-L-RHAMNOPYRANOSYL(1-6)]-BETA-D-GALACTOPYRANOSIDE
RHAMNACEAE#RHAMNUS NAKAHARAI#KAEMPFEROL#KAEMPFEROL-3-O-ISO-RHAMNINOSIDE
RHAMNACEAE#RHAMNUS PALLASII#KAEMPFEROL
RHAMNACEAE#RHAMNUS PETIOLARIS#KAEMPFEROL-3-O-BETA-RHAMNINOSIDE
RHAMNACEAE#RHAMNUS PROCUMBENS#KAEMPFEROL#KAEMPFEROL-4'-O-METHYL ETHER#KAEMPFEROL-7-O-METHYL ETHER
RHAMNACEAE#RHAMNUS STADDO#KAEMPFEROL
RHAMNACEAE#RHAMNUS TAQUETII#KAEMPFEROL
RHAMNACEAE#RHAMNUS THYMIFOLIUS#KAEMPFEROL#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-3)-(4-O-ACETYL)-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-O-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-4'-O-ALPHA-L-RHAMNOPYRANOSYL(1-3)-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-O-BETA-D-GALACTOPYRANOSIDE
RHAMNACEAE#RHAMNUS TRIQUETRA#KAEMPFEROL#KAEMPFEROL-4'-O-METHYL ETHER
RHAMNACEAE#RHAMNUS VIRGATA#AFZELECHIN(4-ALPHA-8,2-ALPHA-O-7)-KAEMPFEROL,ENT:#KAEMPFEROL,7-O-METHYL: 3-O-BETA-RHAMNINOSIDE#KAEMPFEROL-3-O-BETA-RHAMNINOSIDE
RHAMNACEAE#SAGERETIA FILIFORMIS#KAEMPFEROL,3-O-[ALPHA-L-RHAMNOPYRANOSYL(1-4)-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSYL]-4'-METHOXY:
RHAMNACEAE#ZIZIPHUS JUJUBA#KAEMPFEROL
RHAMNACEAE#ZIZIPHUS JUJUBA_VAR.INERMIS#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE
RHAMNACEAE#ZIZIPHUS MAURITIANA_VAR.SPINOSA#KAEMPFEROL,DIHYDRO: (+):
RHAMNACEAE#ZIZIPHUS RUGOSA#KAEMPFEROL#KAEMPFEROL-3-O-RHAMNOSIDE
ROSACEAE#ADENOSTOMA SPARSIFOLIUM#KAEMPFEROL#KAEMPFEROL,6-HYDROXY: 5-6-DIMETHYL ETHER#KAEMPFEROL,6-HYDROXY: 6-METHYL ETHER
ROSACEAE#AGRIMONIA EUPATORIA#KAEMPFEROL#KAEMPFEROL-3-RHAMNOSIDE
ROSACEAE#ALCHEMILLA SPECIOSA#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSIDE URONIC ACID
ROSACEAE#ALCHEMILLA VULGARIS#KAEMPFEROL-6''-O-(PARA-COUMAROYL-3-O-BETA-D-GLUCOPYRANOSIDE
ROSACEAE#COLEOGYNE RAMOSISSIMA#KAEMPFEROL,6-METHOXY: 3-O-SOPHOROSIDE#KAEMPFEROL,8-METHOXY: 3-O-SOPHOROSIDE
ROSACEAE#COTONEASTER SIMONSII#KAEMPFEROL-7-METHYL ETHER-4'-O-BETA-D-GLUCOSIDE
ROSACEAE#CRATAEGUS MAXIMOWICZII#KAEMPFEROL,8-METHOXY:
ROSACEAE#CRATAEGUS MONOGYNA#KAEMPFEROL#KAEMPFEROL,8-METHOXY: 3-NEOHESPERIDOSIDE#KAEMPFEROL,8-METHOXY: 3-O-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL,8-METHOXY: 3-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-NEOHESPERIDOSIDE
ROSACEAE#CRATAEGUS OXYACANTHA#KAEMPFEROL
ROSACEAE#CRATAEGUS PENTAGYNA#KAEMPFEROL#KAEMPFEROL,8-METHOXY: 3-O-BETA-D-GLUCOSIDE
ROSACEAE#CRATAEGUS PINNATIFIDA#KAEMPFEROL#KAEMPFEROL,8-METHOXY:#KAEMPFEROL-7-O-ALPHA-L-RHAMNOSYL-3-O-BETA-D-GLUCOPYRANOSIDE
ROSACEAE#CRATAEGUS SANGUINEA#KAEMPFEROL,8-METHOXY:
ROSACEAE#DRYAS OCTOPETALA#KAEMPFEROL#KAEMPFEROL,8-METHOXY: 3-O-BETA-D-GALACTOPYRANOSYL:
ROSACEAE#ERIOBOTRYA JAPONICA#KAEMPFEROL-3-O-ALPHA-L-(2''-4''-CIS-PARA-COUMAROYL):#KAEMPFEROL-3-O-ALPHA-L-(2''-4''-DI-TRANS-PARA-COUMAROYL):#KAEMPFEROL-3-O-ALPHA-L-(3''-4''-DI-TRANS-FERULOYL):#KAEMPFEROL-3-O-ALPHA-RHAMNOPYRANOSYL(1-2)-BETA-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-NEOHESPERIDOSIDE#KAEMPFEROL-3-O-SOPHOROSIDE#KAEMPFEROL-3-O-SOPHOROSIDE(?)#KAEMPFEROL-3-RHAMNOSIDE
ROSACEAE#EXOCHORDA RACEMOSA#KAEMPFEROL
ROSACEAE#FILIPENDULA FORMOSA#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GALACTOPYRANOSIDE
ROSACEAE#FILIPENDULA ULMARIA#KAEMPFEROL
ROSACEAE#FILIPENDULA ULMARIA_SSP.DENUDATA#KAEMPFEROL-4'-O-BETA-D-GLUCOSIDE
ROSACEAE#FILIPENDULA ULMARIA_SSP.ULMARIA#KAEMPFEROL-4'-O-BETA-D-GLUCOSIDE
ROSACEAE#FRAGARIA ANANASSA#KAEMPFEROL
ROSACEAE#FRAGARIA ANANASSA_CV.TOCHIOTOME#KAEMPFEROL-3-BETA-D-(6-O-CIS-PARA-COUMAROYL)-GLUCOPYRANOSIDE#KAEMPFEROL-3-BETA-D-(6-O-TRANS-PARA-COUMAROYL)-GLUCOPYRANOSIDE
ROSACEAE#GEUM RIVALE#KAEMPFEROL
ROSACEAE#HOLODISCUS DISCOLOR_VAR.ARIAEFOLIUS#KAEMPFEROL
ROSACEAE#KAGENECKIA ANGUSTIFOLIA#KAEMPFEROL
ROSACEAE#LINDLEYA MESPILOIDES#KAEMPFEROL
ROSACEAE#LUETKEA PECTINATA#KAEMPFEROL#KAEMPFEROL-3-O-DIGLYCOSIDE
ROSACEAE#LYONOTHAMNUS FLORIBUNDUS#KAEMPFEROL
ROSACEAE#MALUS SYLVESTRIS#KAEMPFEROL#KAEMPFEROL-3-O-RHAMNOSIDE
ROSACEAE#MALUS SYLVESTRIS_CV.ELSTAR#KAEMPFEROL
ROSACEAE#MALUS SYLVESTRIS_CV.GOLDEN#KAEMPFEROL
ROSACEAE#MALUS SYLVESTRIS_CV.GRANNY#KAEMPFEROL
ROSACEAE#MALUS SYLVESTRIS_CV.JAMES#KAEMPFEROL
ROSACEAE#MALUS SYLVESTRIS_CV.JONAGOLD#KAEMPFEROL
ROSACEAE#PERSICA VULGARIS#KAEMPFEROL-3-DIGLUCOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSIDO-B-D-GLUCOPYRANOSIDE
ROSACEAE#POLYLEPIS INCANA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-(6''-FERULOYL-GLUCOSIDE)
ROSACEAE#POTENTILLA ANSERINA#KAEMPFEROL-3-O-BETA-D-(6''-O-TRANS-PARA-COUMAROYL)-GLUCOPYRANOSIDE
ROSACEAE#POTENTILLA BIPINNATIFIDA#KAEMPFEROL-3-O-BETA-D-RUTINOSYL-7-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSYL-7-O-BETA-D-GLUCOSIDE
ROSACEAE#POTENTILLA FINITIMA#KAEMPFEROL-3-O-BETA-D-RUTINOSYL-7-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSYL-7-O-BETA-D-GLUCOSIDE
ROSACEAE#POTENTILLA PENSYLVANICA#KAEMPFEROL-3-O-BETA-D-RUTINOSYL-7-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE#KAEMPFEROL-3-O-BETA-D-SOPHOROSYL-7-O-BETA-D-GLUCOSIDE
ROSACEAE#POTENTILLA RECTA#ANTIBACTERIAL ACTIVITY#KAEMPFEROL
ROSACEAE#POTENTILLA REPTANS#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
ROSACEAE#PRUNUS ARMENIACA#KAEMPFEROL#KAEMPFEROL-7-O-METHYL ETHER
ROSACEAE#PRUNUS AVIUM_CV.GROSSE#KAEMPFEROL-3-RUTINOSYL-4'-DIGLUCOSIDE
ROSACEAE#PRUNUS AVIUM_CV.SCHATTENMORELE#KAEMPFEROL
ROSACEAE#PRUNUS CERASUS#KAEMPFEROL#KAEMPFEROL-6''-O-ALPHA-L-RHAMNOPYRANOSYL-BETA-D-GLUCOPYRANOSIDE
ROSACEAE#PRUNUS CERASUS_CV.MONTMORENCY#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSYL-4'-GALACTOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE#KAEMPFEROL-4'-O-BETA-D-GLUCOSIDE
ROSACEAE#PRUNUS CERASUS_CV.SCHATTENMORELLE#KAEMPFEROL-3-RUTINOSYL-4'-DIGLUCOSIDE
ROSACEAE#PRUNUS DAVIDIANA#KAEMPFEROL
ROSACEAE#PRUNUS DOMESTICA#KAEMPFEROL#KAEMPFEROL-3-O-ALPHA-L-GALACTOSIDE
ROSACEAE#PRUNUS DONARIUM#KAEMPFEROL-3-O-BETA-D-ROBINOBIOSIDE-7-O-ALPHA-L-RHAMNOSIDE
ROSACEAE#PRUNUS DULCIS#KAEMPFEROL#KAEMPFEROL,8-METHOXY: 3-SOPHOROSIDE#KAEMPFEROL-3-DIGLUCOSIDE
ROSACEAE#PRUNUS LAUROCERASUS#KAEMPFEROL-3-O-(6-O-ALPHA-D-XYLOFURANOSYL-BETA-D-GALACTOSIDE)#KAEMPFEROL-3-O-(6-O-BETA-D-GLUCOFURANOSYL-BETA-D-GALACTOSIDE)
ROSACEAE#PRUNUS PERSICA#KAEMPFEROL#KAEMPFEROL-3-GALACTOSYL-7-DIGLUCOSIDE#KAEMPFEROL-3-GLUCOSYL-7-DIGLUCOSIDE#KAEMPFEROL-3-O-BETA-D-DIGLUCOSIDE#KAEMPFEROL-3-O-BETA-D-GALACTOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOPYRANOSYL(1-4)-ALPHA-D-GALACTOPYRANOSIDE
ROSACEAE#PRUNUS PERSICA_CV.BATSCH#KAEMPFEROL
ROSACEAE#PRUNUS PROSTRATA#KAEMPFEROL AFZELECHIN,EPI: (2-ALPHA-O-7:4-ALPHA-8)-KAEMPFEROL ENT:
ROSACEAE#PRUNUS SPINOSA#KAEMPFEROL#KAEMPFEROL,3-O-ALPHA-L-ARABINOFURANOSYL: 7-O-L-FURANOSIDE#KAEMPFEROL-3-ARABINOFURANOSIDE-7-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-(2''-O-TRANS-PRRA-COUMAROYL)-ALPHA-L-ARABINOFURANOSIDE-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-(2''-TRANS-PARA-COUMAROYL)-ALPHA-L-ARABINOFURANOSIDE#KAEMPFEROL-3-O-ALPHA-L-ARABINOFURANOSYL-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-XYLOPYRANOSIDE#KAEMPFEROL-7-O-ALPHA-L-RHAMNOPYRANOSIDE#KAEMPFEROL-7-O-RHAMNOPYRANOSIDE
ROSACEAE#PRUNUS ZIPPELIANA#KAEMPFEROL-3-O-[O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE]
ROSACEAE#PYRUS COMMUNIS#KAEMPFEROL-3-O-(6''-O-MALONYL)-BETA-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D(6''-O-ALPHA-L-RHAMNOPYRANOSYL)-GLUCOPYRANOSIDE
ROSACEAE#PYRUS COMMUNIS_CV.ALEXANDER#KAEMPFEROL-3-O-(6''-O-MALONYL)-BETA-GLUCOSIDE
ROSACEAE#PYRUS COMMUNIS_CV.BEURRE#KAEMPFEROL
ROSACEAE#PYRUS COMMUNIS_CV.CLAPPS#KAEMPFEROL-3-O-(6''-O-MALONYL)-BETA-GLUCOSIDE
ROSACEAE#PYRUS COMMUNIS_CV.CONFERENCE#KAEMPFEROL
ROSACEAE#PYRUS COMMUNIS_CV.DOYENNE#KAEMPFEROL
ROSACEAE#PYRUS COMMUNIS_CV.GELLERTS#KAEMPFEROL-3-O-(6''-O-MALONYL)-BETA-GLUCOSIDE
ROSACEAE#PYRUS COMMUNIS_CV.GUTE#KAEMPFEROL-3-O-(6''-O-MALONYL)-BETA-GLUCOSIDE
ROSACEAE#PYRUS COMMUNIS_CV.JULES#KAEMPFEROL-3-O-(6''-O-MALONYL)-BETA-GLUCOSIDE
ROSACEAE#PYRUS COMMUNIS_CV.KOSTLICHE#KAEMPFEROL-3-O-(6''-O-MALONYL)-BETA-GLUCOSIDE
ROSACEAE#PYRUS COMMUNIS_CV.TREVEUX#KAEMPFEROL-3-O-(6''-O-MALONYL)-BETA-GLUCOSIDE
ROSACEAE#PYRUS COMMUNIS_CV.VEREINSDECHANT#KAEMPFEROL-3-O-(6''-O-MALONYL)-BETA-GLUCOSIDE
ROSACEAE#PYRUS COMMUNIS_CV.WILLIAMS#KAEMPFEROL-3-O-(6''-O-MALONYL)-BETA-GLUCOSIDE
ROSACEAE#PYRUS SPECIES#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE
ROSACEAE#QUILLAJA SAPONARIA#KAEMPFEROL
ROSACEAE#QUILLAJA SELLOWIANA#KAEMPFEROL
ROSACEAE#ROSA ARABICA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-GALACTOPYRANOSIDE
ROSACEAE#ROSA CANINA#KAEMPFEROL-3-O-(6''-O-CIS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-(6''-O-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE
ROSACEAE#ROSA CHINENSIS#KAEMPFEROL
ROSACEAE#ROSA DAMASCENA#KAEMPFEROL#KAEMPFEROL-3-O-(6-O-TRANS-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE#KAEMPFEROL-3-O-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-GALACTOSYL-ARABINOSIDE#KAEMPFEROL-3-O-GLUCOSYL-ARABINOSIDE#KAEMPFEROL-3-O-RHAMNOSYL-GALACTOSIDE#KAEMPFEROL-3-O-RHAMNOSYL-GLUCOSIDE#KAEMPFEROL-3-O-RUTINOSYL-7-O-ARABINOSIDE
ROSACEAE#ROSA DAVIDII#KAEMPFEROL
ROSACEAE#ROSA HYBRIDA#KAEMPFEROL
ROSACEAE#ROSA LUTEA#KAEMPFEROL
ROSACEAE#ROSA MULTIBRACTEATA#KAEMPFEROL
ROSACEAE#ROSA RUGOSA#KAEMPFEROL
ROSACEAE#ROSA SOULIEANA#KAEMPFEROL
ROSACEAE#ROSA SPECIES#KAEMPFEROL-3-O-ARABINOSIDE#KAEMPFEROL-3-O-RHAMNOSIDE#KAEMPFEROL-4'-O-GLUCOSIDE
ROSACEAE#ROSA TAIWANENSE#KAEMPFEROL
ROSACEAE#RUBUS COREANUS#KAEMPFEROL
ROSACEAE#RUBUS IDAEUS#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
ROSACEAE#RUBUS IDAEUS_CV.NORNA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE
ROSACEAE#RUBUS SAXATILIS#KAEMPFEROL
ROSACEAE#RUBUS ULMIFOLIUS#KAEMPFEROL#KAEMPFEROL-3-O-ALPHA-L-ARABINOPYRANOSIDE#KAEMPFEROL-3-O-ALPHA-L-GALACTOSIDE#KAEMPFEROL-3-O-BETA-D-GALACTOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCURONIDE#KAEMPFEROL-3-O-CAFFEOYL ESTER
ROSACEAE#SANGUISORBA MINOR#KAEMPFEROL#KAEMPFEROL-3-O-BETA-GALACTOSIDE#KAEMPFEROL-3-O-BETA-GLUCURONIDE#KAEMPFEROL-3-O-[2''-GALLOYL-BETA-GLUCOPYRANOSYL(1'''-2'')-O-BETA-GLUCOPYRANOSIDE
ROSACEAE#SANGUISORBA MINOR_SSP.MAGNOLII#KAEMPFEROL
ROSACEAE#SANGUISORBA OFFICINALIS#KAEMPFEROL-3-7-O-DIRHAMNOSIDE
ROSACEAE#SPIRAEA CANESCENS#KAEMPFEROL-6'-O-(4"-METHOXY-TRANS-CINNAMOYL)-3-BETA-GLUCOSIDE:
ROSACEAE#SPIRAEA FORMOSANA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-GALACTOPYRANOSIDE
ROSACEAE#VAUQUELINIA CALIFORNICA#KAEMPFEROL
ROSACEAE#VAUQUELINIA CORYMBOSA#KAEMPFEROL
RUBIACEAE#ADINA RACEMOSA#KAEMPFEROL#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-(4-O-TRANS-PARA-COUMAROYL)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GALACTOPYRANOSIDE#KAEMPFEROL-3-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-[(4-O-TRANS-PARA-COUMAROYL)-ALPHA-L-RHAMNOPYRANOSYL(1-2)]-(4-O-TRANS-PARA-COUMAROYL)-BETA-D-GALACTOPYRANOSIDE
RUBIACEAE#ALIBERTIA SESSILIS#KAEMPFEROL-3-O-BETA-D-(2''-TRANS-PARA-COUMAROYL)-RUTINOSIDE
RUBIACEAE#CINCHONA LEDGERIANA#KAEMPFEROL
RUBIACEAE#COELOSPERMUM BILLARDIERI#KAEMPFEROL-3-O-BETA-D-SOPHOROSIDE
RUBIACEAE#COPROSMA ACEROSA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-DIGLUCOSYL-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-DIGLUCOSYL-RHAMNOSIDE-7-O-BETA-D-GLUCOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE-7-O-BETA-D-GLUCOSIDE
RUBIACEAE#COPROSMA AREOLATA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-ARABINOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-ARABINOSIDE-7-O-BETA-D-GLUCOSIDE
RUBIACEAE#COPROSMA ATROPURPUREA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE
RUBIACEAE#COPROSMA CRASSIFOLIA#KAEMPFEROL#KAEMPFEROL-3-O-RHAMNO-GLUCO-GLUCOSIDE#KAEMPFEROL-3-O-RHAMNO-GLUCOSIDE#KAEMPFEROL-7-O-GLUCOSIDE-3-O-RHAMNO-GLUCOSIDE#KAEMPFEROL-7-RHAMNOSIDE
RUBIACEAE#COPROSMA CRENULATA#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE-7-O-BETA-D-GLUCOSIDE
RUBIACEAE#COPROSMA FOETIDISSIMA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE-7-O-BETA-D-GLUCOSIDE
RUBIACEAE#COPROSMA GRANDIFOLIA#KAEMPFEROL#KAEMPFEROL-7-RHAMNOSIDE
RUBIACEAE#COPROSMA INTERTEXTA#KAEMPFEROL#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE#KAEMPFEROL-3-O-BETA-D-GLUCOSYL-RHAMNOSIDE-7-O-BETA-D-GLUCOSIDE
RUBIACEAE#COPROSMA LUCIDA#KAEMPFEROL
